iceberg_id,timestamp,lat,lon,area_km2,u_wind,v_wind,u_current,v_current,segment_hours,length_km,width_km,sensor
A23A,2026-01-01,-53.07,-40.37,572.0,-0.3921051025390625,2.7454833984375,-0.03368290141224861,0.11461104452610016,,26.0,22.0,nic
A23A,2026-01-05,-52.811949999999996,-40.87965,572.0,2.1122570037841797,3.932614326477051,-0.0034494394494686276,0.106407071929425,96.0,26.0,22.0,ascat
A23A,2026-01-07,-52.7599,-41.061499999999995,572.0,7.626773834228516,-2.1778392791748047,0.011407424253775389,0.09485351480543613,48.0,26.0,22.0,ascat
A23A,2026-01-09,-52.98,-40.88,572.0,6.368381500244141,4.512067794799805,-0.0417013849128125,0.09203915670514107,48.0,26.0,22.0,nic
A23A,2026-01-13,-52.95484999999999,-41.22915,572.0,3.8398075103759766,-0.8736209869384766,-0.06522163737099618,0.056830789195373654,96.0,26.0,22.0,ascat
A23A,2026-01-15,-52.8998,-41.1543,572.0,7.517620086669922,-5.749828338623047,-0.022873067413456738,0.0662259440869093,48.0,26.0,22.0,ascat
A23A,2026-01-17,-52.8493,-40.98765,572.0,8.74995231628418,-4.617706298828125,-0.010305569623596966,0.02666059322655201,48.0,26.0,22.0,ascat
A23A,2026-01-19,-52.8532,-40.9043,572.0,7.995244979858398,-0.06753730773925781,0.010200354037806392,0.023680857149884105,48.0,26.0,22.0,ascat
A23A,2026-01-21,-52.8403,-40.1011,572.0,8.54165267944336,0.4091949462890625,0.057180394884198904,0.08319444046355784,48.0,26.0,22.0,ascat
A23A,2026-01-23,-52.31,-41.49,572.0,7.7541351318359375,-1.73333740234375,0.025641890533734113,0.08472500345669687,48.0,26.0,22.0,nic
A23A,2026-01-29,-51.64,-41.41,572.0,6.828257242838542,-1.1988932291666667,0.12098659357676904,0.24070097940663496,144.0,26.0,22.0,nic
A23A,2026-02-02,-52.536,-39.605,572.0,8.02475643157959,-0.48092174530029297,0.05534364850609563,0.1107835279108258,96.0,26.0,22.0,ascat
A23A,2026-02-04,-52.5011,-39.57685,572.0,7.631448745727539,-2.9602088928222656,0.056178104132413864,-0.012846869125496596,48.0,26.0,22.0,ascat
A23A,2026-02-06,-52.4457,-39.5019,572.0,7.052925109863281,-2.882844924926758,0.0736787710338831,-0.013038346427492797,48.0,26.0,22.0,ascat
A23A,2026-02-08,-52.367,-39.6392,572.0,4.63494873046875,0.28013038635253906,0.06486618285998702,0.02644730149768293,48.0,26.0,22.0,ascat
A23A,2026-02-10,-52.421099999999996,-39.720650000000006,572.0,6.843990325927734,1.2674846649169922,0.09862568229436874,-0.0073266723193228245,48.0,26.0,22.0,ascat
A23A,2026-02-12,-48.95,-40.64,572.0,3.934682846069336,-8.763360977172852,0.20809681108221412,-0.12169224710669369,48.0,26.0,22.0,nic
A23A,2026-02-18,-48.02,-34.61,572.0,7.792561213175456,-0.9886900583902994,0.4578937745342652,0.0922214228194207,144.0,26.0,22.0,nic
A23A,2026-02-28,-48.05605,-32.4185,168.0,1.9056873321533203,-8.843048095703125,0.1069803083082661,-0.20489774458110332,48.0,14.0,12.0,ascat
A23A,2026-03-02,-48.40115,-33.117900000000006,168.0,6.252315521240234,-0.07220840454101562,-0.289459565654397,-0.19891761243343353,48.0,14.0,12.0,ascat
A23A,2026-03-04,-48.6536,-33.65615,168.0,6.065040588378906,-2.5785350799560547,-0.12860256200656295,-0.11935057025402784,48.0,14.0,12.0,ascat
A23A,2026-03-06,-48.889849999999996,-33.70485,63.0,6.689493179321289,-5.489717483520508,0.026504924055188894,-0.07897824700921774,48.0,9.0,7.0,ascat
A23A,2026-03-08,-48.9124,-33.5498,63.0,6.933080673217773,-2.0055999755859375,0.052094836719334126,-0.04277873714454472,48.0,9.0,7.0,ascat
A23A,2026-03-10,-49.0202,-33.1072,63.0,0.23077774047851562,7.896690368652344,0.08344520663376898,-0.10674013069365174,48.0,9.0,7.0,ascat
A23A,2026-03-12,-48.95,-31.79,63.0,5.888370513916016,7.259450912475586,0.3115548714995384,0.0406756573356688,48.0,9.0,7.0,nic
A23A,2026-03-14,-48.76325,-30.810850000000002,63.0,6.746358871459961,0.5932254791259766,0.30813615769147873,0.2543966732919216,48.0,9.0,7.0,ascat
A23A,2026-03-16,-48.62225,-30.6803,63.0,2.9113388061523438,-1.3485221862792969,0.2646770551800728,0.10691243223845959,48.0,9.0,7.0,ascat
A23A,2026-03-18,-48.59035,-30.6256,63.0,2.5015792846679688,-5.297891616821289,0.26925668865442276,0.11368489824235439,48.0,9.0,7.0,ascat
A23A,2026-03-20,-48.5687,-30.6433,63.0,5.578226089477539,-4.142332077026367,0.28499889373779297,0.1536608263850212,48.0,9.0,7.0,ascat
A23A,2026-03-22,-48.5693,-30.682949999999998,63.0,4.279834032058716,-2.1723270416259766,0.33001601696014404,0.11051336862146854,48.0,9.0,7.0,ascat
A23A,2026-03-24,-48.572050000000004,-30.6282,63.0,4.710575103759766,-4.111446380615234,0.3993848189711571,0.10958210192620754,48.0,9.0,7.0,ascat
A23A,2026-03-28,-48.4838,-30.3245,63.0,8.450386047363281,-0.2209644317626953,0.29425746388733387,0.11840312043204904,96.0,9.0,7.0,ascat
A23A,2026-03-30,-48.40995,-30.10935,63.0,8.356964111328125,3.1891613006591797,0.16690362617373466,0.12976681999862194,48.0,9.0,7.0,ascat
A74A,2026-01-01,-58.38,-21.63,299.0,7.6948089599609375,8.6683349609375,-0.06630226969718933,0.07916124910116196,,23.0,13.0,nic
A74A,2026-01-03,-58.2942,-21.3393,299.0,5.57939338684082,-0.14457321166992188,-0.030606194864958525,0.05094026029109955,48.0,23.0,13.0,ascat
A74A,2026-01-05,-58.23525,-21.2215,299.0,2.3554019927978516,-2.2771968841552734,0.006297847954556346,0.05077099916525185,48.0,23.0,13.0,ascat
A74A,2026-01-09,-58.3222,-21.001,299.0,-0.2085723876953125,0.44558238983154297,-0.0034291890915483236,0.024436440726276487,96.0,23.0,13.0,nic
A74A,2026-01-13,-58.296899999999994,-20.48575,299.0,3.0002079010009766,2.9182491302490234,-0.015011241601314396,0.05444444250315428,96.0,23.0,13.0,ascat
A74A,2026-01-15,-58.22235,-20.50645,299.0,9.029827117919922,-0.3228263854980469,0.029370223404839635,0.06324448436498642,48.0,23.0,13.0,ascat
A74A,2026-01-17,-58.2479,-20.0931,299.0,6.37641716003418,-3.927642822265625,0.045668510254472494,0.04657246667193249,48.0,23.0,13.0,ascat
A74A,2026-01-23,-58.16,-20.09,299.0,9.95536994934082,-1.1608537038167317,0.06459727231413126,0.05206374156599244,144.0,23.0,13.0,nic
A74A,2026-01-29,-58.27,-19.4,299.0,4.462534586588542,4.4908447265625,0.0580587213820157,0.05737566003032649,144.0,23.0,13.0,nic
A74A,2026-02-04,-58.0216,-19.7311,299.0,5.311139424641927,-2.697882334391276,0.09406680551668008,0.04585549708766242,144.0,23.0,13.0,ascat
A74A,2026-02-06,-58.01,-18.89,299.0,10.164009094238281,-1.0527667999267578,0.028279270511120558,0.06032708752900362,48.0,23.0,13.0,nic
A74A,2026-02-08,-57.8168,-18.982950000000002,299.0,6.44989013671875,-4.599508285522461,0.013451419421471655,-0.03321012808009982,48.0,23.0,13.0,ascat
A74A,2026-02-10,-57.7687,-18.9064,299.0,12.369503021240234,0.2811565399169922,0.05830059479922056,0.031106520909816027,48.0,23.0,13.0,ascat
A74A,2026-02-12,-57.9523,-18.1308,299.0,12.000722885131836,3.6151790618896484,0.06360941007733345,-0.014425978064537048,48.0,23.0,13.0,ascat
A74A,2026-02-14,-57.94785,-18.021,299.0,8.724931716918945,-7.258697509765625,0.12492847349494696,-0.04030780139146373,48.0,23.0,13.0,ascat
A74A,2026-02-18,-57.8867,-18.7645,299.0,9.262505531311035,1.1789674758911133,0.041078663256485015,-0.0009002814604173182,96.0,23.0,13.0,ascat
A74A,2026-02-20,-58.081450000000004,-17.01045,299.0,10.82833480834961,-2.6960601806640625,0.10960836423328146,-0.026844129897654057,48.0,23.0,13.0,ascat
A74A,2026-02-22,-57.7837,-18.9383,299.0,7.9473724365234375,1.4628944396972656,0.06276231337687932,-0.012834622175432742,48.0,23.0,13.0,ascat
A74A,2026-02-26,-57.8385,-18.6373,52.0,7.996230125427246,-1.1960430145263672,0.0022165052287164144,0.03904092442826368,96.0,13.0,4.0,ascat
A74A,2026-02-28,-57.87245,-18.79605,52.0,5.82243537902832,2.103851318359375,-0.010677523183403537,-0.006888479460030794,48.0,13.0,4.0,ascat
A74A,2026-03-06,-57.82,-18.94,52.0,6.008605321248372,0.7717672983805338,0.03618337999796495,0.020053475338499993,144.0,13.0,4.0,nic
A74A,2026-03-08,-57.6706,-19.4055,52.0,3.8033199310302734,-1.6357269287109375,0.08417513174936175,-0.009216498583555222,48.0,13.0,4.0,ascat
A74A,2026-03-10,-57.6252,-19.4046,52.0,3.4258460998535156,4.769126892089844,0.024507741443812847,0.003970839083194733,48.0,13.0,4.0,ascat
A74A,2026-03-12,-57.55,-19.14,52.0,8.864200592041016,4.907400131225586,0.07533965725451708,0.021475924993865192,48.0,13.0,4.0,nic
A74A,2026-03-18,-57.8924,-18.9735,52.0,10.652466456095377,0.726495107014974,0.09574201128756006,0.00406670323961104,144.0,13.0,4.0,ascat
A74A,2026-03-20,-57.83,-18.85,52.0,11.120462417602539,-0.12414360046386719,0.05688002350507304,0.022912830347195268,48.0,13.0,4.0,nic
A74A,2026-03-26,-57.9,-18.71,7.0,4.569805542627971,-1.0210742950439453,0.042462483184256904,-0.027251747747262318,144.0,7.0,1.0,nic
A76C,2026-01-01,-60.2869,-37.52435,112.0,1.3110198974609375,6.1781005859375,-0.007229339797049761,0.014558110386133194,,16.0,7.0,ascat
A76C,2026-01-03,-60.3363,-37.6739,112.0,2.9015369415283203,9.258258819580078,-0.017203142342623323,0.028450200334191322,48.0,16.0,7.0,ascat
A76C,2026-01-05,-60.3363,-37.6739,112.0,2.4461002349853516,4.004175186157227,0.011063260957598686,0.004168502986431122,48.0,16.0,7.0,ascat
A76C,2026-01-09,-60.4962,-38.040549999999996,112.0,-3.6278839111328125,1.740931510925293,-0.010517633952986216,-0.031940958579070866,96.0,16.0,7.0,nic
A76C,2026-01-11,-60.52575,-38.1806,112.0,3.612119674682617,5.097339630126953,0.013124972028890625,0.09715114068239927,48.0,16.0,7.0,ascat
A76C,2026-01-15,-60.5549,-38.0994,112.0,6.330038070678711,-3.349717140197754,0.06387509824708104,0.11532658245414495,96.0,16.0,7.0,ascat
A76C,2026-01-29,-59.79,-38.1,112.0,6.114390055338542,1.2065836588541667,0.0016074487551425893,0.09085522529979546,144.0,16.0,7.0,nic
A76C,2026-02-04,-59.5992,-37.8062,112.0,7.502057393391927,0.4319597880045573,0.03344624613722166,0.030883551846879225,144.0,16.0,7.0,ascat
