iceberg_id,timestamp,lat,lon,area_km2,u_wind,v_wind,u_current,v_current,segment_hours,obs_u,obs_v,dt_hours,phys_u,phys_v,residual_u,residual_v
D33B,2026-05-21,-65.16,-53.97999999999999,320.68,3.836676084078275,1.5473333505483775,0.0229765991008697,0.1060401360289408,312.0,-0.014612890625344335,0.089303608677953,312.0,0.015231641174340789,0.07029609973958141,-0.029844531799685124,0.019007508938371595
D33B,2026-05-29,-64.72,-54.120000000000005,320.68,2.819486141204834,0.9268617630004884,0.0073274640017189,0.07641667581629,192.0,-0.009655218510063525,0.07096203582881805,192.0,0.004857520553938592,0.05065812310428472,-0.014512739064002116,0.02030391272453333
D33B,2026-06-05,-64.14,-54.0,320.68,5.30796868460519,-0.0699446541922433,0.0297770456277898,0.0864687028474041,168.0,0.00966023260478215,0.10690339033601588,168.0,0.019739791439251766,0.05732181028185787,-0.010079558834469617,0.04958158005415801
D33B,2026-06-12,-63.74,-52.45,320.68,7.146675109863281,-3.5498668125697543,0.0977697462907859,0.043933717600469,168.0,0.12655626863606986,0.07218901009769542,168.0,0.06481349509863794,0.029124528787197,0.06174277353743192,0.04306448131049842
D33B,2026-06-18,-63.41,-52.18000000000001,320.68,-1.4936752319335938,3.78204345703125,-0.04157139834327,0.0527431975739697,144.0,0.026021339549742423,0.0709044423179601,144.0,-0.027558500711983357,0.03496450698848898,0.053579840261725784,0.03593993532947112
D33B,2026-06-25,-63.09,-52.27000000000001,320.68,2.172657012939453,-1.4601505824497767,0.0045767344334828,0.0368931156533238,168.0,-0.007517411570943597,0.05897124181524065,168.0,0.003034007615096579,0.024457174752795036,-0.010551419186040176,0.034514067062445614
D33B,2026-07-10,-62.28,-53.46000000000001,320.68,8.84706802368164,-4.792660013834635,0.0521562143767369,0.056826804857701,360.0,-0.047669340053018275,0.06922000009257483,360.0,0.03457538423814779,0.03767161088013347,-0.08224472429116605,0.03154838921244136
D33B,2026-07-17,-61.77,-52.16,320.68,9.845711844308036,0.7857371738978794,0.0783423418179154,0.0892264220331396,168.0,0.11347053505703501,0.09283944719556295,168.0,0.0519346851154692,0.05914995677613728,0.061535849941565815,0.03368949041942566
D33B,2026-07-23,-61.27,-51.170000000000016,320.68,5.806669235229492,1.918851852416992,0.1119838249869644,0.1282444371220966,144.0,0.1024493931994585,0.10670373921479677,144.0,0.07423628849698025,0.08501576931701554,0.02821310470247826,0.021687969897781226
D33B,2026-07-30,-61.03,-51.72999999999999,320.68,6.162369319370815,4.663834708077567,0.0012904770140136,0.1376644106847899,168.0,-0.050051795641171765,0.04400456451304123,168.0,0.0008554826906670401,0.09126045577164799,-0.05090727833183881,-0.047255891258606755
