iceberg_id,timestamp,lat,lon,area_km2,u_wind,v_wind,u_current,v_current,segment_hours,length_km,width_km,sensor,obs_u,obs_v,dt_hours,phys_u,phys_v,residual_u,residual_v
C36,2026-01-03,-67.7815,147.6613,368.0,-0.1558361053466797,-0.3932304382324219,-0.0295165590941905,0.0223475846287328,48.0,23.0,16.0,ascat,0.0,6.378324454597184e-16,48.0,-0.008871457250588011,0.006107187213502108,0.008871457250588011,-0.006107187213501471
C36,2026-01-05,-67.7815,147.6613,368.0,-2.3444271087646484,0.7353763580322266,-0.099966381676495,-0.0332598187669646,48.0,23.0,16.0,ascat,0.0,6.378324454597184e-16,48.0,-0.03221191705318887,-0.00891028377710876,0.03221191705318887,0.0089102837771094
C36,2026-01-07,-67.7815,147.6613,368.0,-2.8405113220214844,3.4388599395751953,-0.1239506416022777,-0.0458812804426997,48.0,23.0,16.0,ascat,0.0,6.378324454597184e-16,48.0,-0.03986113202969789,-0.00940069599013111,0.03986113202969789,0.009400695990131748
C36,2026-01-09,-67.7815,147.6613,368.0,-3.0514183044433594,4.071393966674805,-0.0768102277070283,0.0104807242751121,48.0,23.0,16.0,ascat,0.0,6.378324454597184e-16,48.0,-0.026240924344439587,0.007938801965734658,0.026240924344439587,-0.00793880196573402
C36,2026-01-11,-67.7815,147.6613,368.0,0.6631450653076172,2.375049591064453,-0.0610782988369464,0.0096142401453107,48.0,23.0,16.0,ascat,0.0,6.378324454597184e-16,48.0,-0.01718236878867086,0.005661114960640392,0.01718236878867086,-0.0056611149606397545
C36,2026-01-13,-67.7815,147.6613,368.0,-1.7305030822753906,2.319551467895508,-0.0751941055059433,-0.0447307070717215,48.0,23.0,16.0,ascat,0.0,6.378324454597184e-16,48.0,-0.02419030623906109,-0.010396782340851654,0.02419030623906109,0.010396782340852293
C36,2026-01-15,-67.7815,147.6613,368.0,3.096599578857422,4.280078887939453,-0.0740950722247362,0.0921732569113373,48.0,23.0,16.0,ascat,0.0,6.378324454597184e-16,48.0,-0.018111088028037542,0.03222674822128828,0.018111088028037542,-0.03222674822128764
C36,2026-01-19,-67.7815,147.6613,368.0,4.1661224365234375,6.988127708435059,-0.0196895679691806,0.096950945444405,96.0,23.0,16.0,ascat,0.0,3.189162227298592e-16,96.0,-0.000826252988955045,0.036861710329030656,0.000826252988955045,-0.03686171032903034
C36,2026-01-21,-67.7815,147.6613,368.0,0.0569114685058593,6.1397857666015625,-0.0219574077054858,0.0238069193437695,48.0,23.0,16.0,ascat,0.0,6.378324454597184e-16,48.0,-0.006393397536757283,0.014326551684909226,0.006393397536757283,-0.014326551684908588
C36,2026-01-23,-67.7815,147.6613,368.0,0.6176605224609375,5.51190185546875,-0.0220714900642633,0.0553186004981398,48.0,23.0,16.0,ascat,0.0,6.378324454597184e-16,48.0,-0.005758333414631973,0.022850596236542522,0.005758333414631973,-0.022850596236541884
C36,2026-01-27,-67.7815,147.6613,368.0,0.1896772384643554,3.3516273498535156,-0.0467542244587093,-0.0468537982960697,96.0,23.0,16.0,ascat,0.0,3.189162227298592e-16,96.0,-0.013531880561261762,-0.009790887973185926,0.013531880561261762,0.009790887973186245
C36,2026-01-29,-67.89,147.46,368.0,1.5219135284423828,4.668750762939453,-0.1273738481104374,-0.0194300718721933,48.0,23.0,16.0,nic,-0.0489503152488735,-0.07011076462709392,48.0,-0.03566672236439972,-0.00015056131566931145,-0.013283592884473783,-0.0699602033114246
C36,2026-01-31,-67.7815,147.6613,368.0,-0.4872684478759765,3.067750930786133,-0.0732777258381247,-0.0260896567488089,48.0,23.0,16.0,ascat,0.04917817757932014,0.06995112243228636,48.0,-0.022143959335749173,-0.004019256705199774,0.0713221369150693,0.07397037913748614
C36,2026-02-06,-67.89,147.46,368.0,-1.183135350545247,3.621638615926107,-0.1624580693120757,-0.0627195139726003,144.0,23.0,16.0,nic,-0.0163167717496245,-0.023370254875697976,144.0,-0.0492162066177049,-0.014137625189106776,0.032899434868080404,-0.0092326296865912
C36,2026-02-08,-67.7815,147.6613,368.0,-2.20562744140625,1.787942886352539,-0.1286709569394588,-0.0319410484335094,48.0,23.0,16.0,ascat,0.04917817757932014,0.06995112243228636,48.0,-0.0404931150673916,-0.007267143044659569,0.08967129264671174,0.07721826547694594
C36,2026-02-12,-67.89,147.47,368.0,-1.2558393478393557,3.528012275695801,-0.1872653272002935,-0.0667633700650185,96.0,23.0,16.0,nic,-0.023259306775820675,-0.03505152500352638,96.0,-0.05660276320829727,-0.015439223067159683,0.03334345643247659,-0.019612301936366698
C36,2026-02-16,-67.887,147.468,368.0,-0.1083564758300781,-0.0262622833251953,-0.0411906009539961,0.0090132425539195,96.0,23.0,16.0,ascat,-0.00024320255914741593,0.0009681747847847074,96.0,-0.012250084453724613,0.0026209511688297387,0.012006881894577198,-0.0016527763840450314
C36,2026-02-18,-67.887,147.468,368.0,0.6563453674316406,3.8690052032470703,-0.1326037589460611,-0.0268218161072582,48.0,23.0,16.0,ascat,0.0,0.0,48.0,-0.038237792153153816,-0.003279292718568652,0.038237792153153816,0.003279292718568652
C36,2026-02-20,-67.887,147.468,368.0,-10.55142593383789,4.7640228271484375,-0.2637843899428844,-0.0691149095073342,48.0,23.0,16.0,ascat,0.0,0.0,48.0,-0.0902035234525146,-0.014657381937331829,0.0902035234525146,0.014657381937331829
C36,2026-02-22,-67.887,147.468,368.0,-8.532485961914062,3.6137733459472656,-0.1510564684867859,-0.0206736063119024,48.0,23.0,16.0,ascat,0.0,0.0,48.0,-0.05462446326973657,-0.0017744376199659842,0.05462446326973657,0.0017744376199659842
C36,2026-02-24,-67.887,147.468,368.0,-8.157846450805664,1.7918853759765625,-0.188729390501976,-0.0358107953798025,48.0,23.0,16.0,ascat,0.0,0.0,48.0,-0.06526350203190663,-0.008401166411761292,0.06526350203190663,0.008401166411761292
C36,2026-02-26,-67.89,147.47,368.0,-5.359466552734375,2.8251800537109375,-0.1022809334099292,0.0058506226632744,48.0,23.0,16.0,nic,0.00048634249782393796,-0.0019363652985646689,48.0,-0.036488122568772714,0.005090353905381021,0.03697446506659665,-0.007026719203945689
C36,2026-02-28,-67.887,147.468,368.0,0.7670154571533203,2.040130615234375,0.0383594511076808,0.0731800179928541,48.0,23.0,16.0,ascat,-0.00048640511829483186,0.0019363495695694148,48.0,0.012202362733196359,0.023966832593901328,-0.01268876785149119,-0.02203048302433191
C36,2026-03-02,-67.887,147.468,368.0,2.0692100524902344,4.884578704833984,0.0090483063831925,-0.005353414628189,48.0,23.0,16.0,ascat,0.0,0.0,48.0,0.00512989990657065,0.0042490339677500565,-0.00512989990657065,-0.0042490339677500565
C36,2026-03-04,-67.887,147.468,368.0,-6.679466247558594,3.0479297637939453,-0.1241626073606312,-0.075127363204956,48.0,23.0,16.0,ascat,0.0,0.0,48.0,-0.044501056433432475,-0.01847288698679186,0.044501056433432475,0.01847288698679186
C36,2026-03-06,-67.887,147.468,368.0,-0.7542324066162109,4.365262985229492,-0.0737665598280727,-0.0289732322562485,48.0,23.0,16.0,ascat,0.0,0.0,48.0,-0.02260613171200311,-0.003320640160310021,0.02260613171200311,0.003320640160310021
C36,2026-03-12,-67.76,147.04,368.0,-0.7424335479736328,1.1290486653645833,-0.0693393697341283,0.0271787587165211,144.0,23.0,16.0,nic,-0.03488565982135897,0.027203258109811987,144.0,-0.021289303399090166,0.009343982270818132,-0.013596356422268807,0.017859275838993854
C36,2026-03-14,-67.6646,146.9525,368.0,2.264669418334961,6.347253799438477,-0.0734168677590787,0.0581524423323571,48.0,23.0,16.0,ascat,-0.021483160097871934,0.06155964792069592,48.0,-0.01890350673321473,0.024680561271038192,-0.002579653364657205,0.03687908664965772
C36,2026-03-20,-67.63705,146.81885,368.0,-1.5615736643473308,5.263973871866862,-0.1039111825327078,0.0685849029881258,144.0,23.0,16.0,nic,-0.010950775520976543,0.00591541825473403,144.0,-0.03243925649909879,0.026458753636165486,0.021488480978122247,-0.020543335381431455
C36,2026-03-26,-67.55,146.66,368.0,0.9814673264821372,4.280398686726888,-0.0726909733687837,0.0860915221273899,144.0,23.0,16.0,nic,-0.013063571572180882,0.018711452966557955,144.0,-0.020219986441081337,0.030437498411982754,0.007156414868900455,-0.011726045445424799
C36,2026-03-28,-67.5034,146.6176,368.0,-1.2251224517822266,7.288240432739258,-0.128261586651206,0.1181337684392929,48.0,23.0,16.0,ascat,-0.010481300739068233,0.030073155136660337,48.0,-0.039203503180248234,0.04345288990288565,0.02872220244118,-0.013379734766225313
