iceberg_id,timestamp,lat,lon,area_km2,u_wind,v_wind,u_current,v_current,segment_hours,length_km,width_km,sensor,obs_u,obs_v,dt_hours,phys_u,phys_v,residual_u,residual_v
B29,2026-01-03,-73.6812,-110.7184,40.0,-4.65498161315918,-1.669353485107422,0.0014684944180771,-0.0876890425570309,48.0,8.0,5.0,ascat,0.0,0.0,48.0,-0.0051184528492583415,-0.027794192740485002,0.0051184528492583415,0.027794192740485002
B29,2026-01-05,-73.6812,-110.7184,40.0,3.1731510162353516,0.2400150299072265,0.0107395077357068,0.000142176169902,48.0,8.0,5.0,ascat,0.0,0.0,48.0,0.0069438920268112825,0.0003280299461500975,-0.0069438920268112825,-0.0003280299461500975
B29,2026-01-07,-73.6812,-110.7184,40.0,-3.754085540771485,-0.6059398651123047,-0.0464934281772002,-0.0719573544338345,48.0,8.0,5.0,ascat,0.0,0.0,48.0,-0.018157660824430363,-0.021896925739845387,0.018157660824430363,0.021896925739845387
B29,2026-01-09,-73.6812,-110.7184,40.0,-2.0898704528808594,0.7359447479248047,0.0151047138497233,-0.0464764097705483,48.0,8.0,5.0,ascat,0.0,0.0,48.0,0.0019528113341374517,-0.01279876325575282,-0.0019528113341374517,0.01279876325575282
B29,2026-01-11,-73.6812,-110.7184,40.0,0.8984966278076172,1.8917732238769531,0.0587217519059777,-0.0355506448540836,48.0,8.0,5.0,ascat,0.0,0.0,48.0,0.0183510173444742,-0.008205507897977478,-0.0183510173444742,0.008205507897977478
B29,2026-01-13,-73.6812,-110.7184,40.0,6.093227386474609,1.2244586944580078,0.0858756229281425,0.007714795297943,48.0,8.0,5.0,ascat,0.0,0.0,48.0,0.03253557509039841,0.0037302192828363757,-0.03253557509039841,-0.0037302192828363757
B29,2026-01-15,-73.6719,-110.7503,40.0,-0.5984687805175781,-3.599803924560547,0.0847958642989397,-0.0587048077723011,48.0,8.0,5.0,ascat,-0.005795350082756843,0.0060049623543970325,48.0,0.02423869672355667,-0.02156705662890738,-0.030034046806313514,0.02757201898330441
B29,2026-01-17,-73.6719,-110.7503,40.0,-8.34965705871582,-2.984161376953125,0.0934557421132922,-0.1213161163032054,48.0,8.0,5.0,ascat,0.0,0.0,48.0,0.01754450248027834,-0.03925717562045616,-0.01754450248027834,0.03925717562045616
B29,2026-01-19,-73.6719,-110.7503,40.0,-7.734857559204102,-0.9239826202392578,0.0164998532272875,-0.142840813845396,48.0,8.0,5.0,ascat,0.0,0.0,48.0,-0.004367704811238788,-0.0431345565487779,0.004367704811238788,0.0431345565487779
B29,2026-01-21,-73.6719,-110.7503,40.0,-4.193576812744141,3.3648834228515625,-0.003477678168565,-0.123272493481636,48.0,8.0,5.0,ascat,0.0,0.0,48.0,-0.006023752966901945,-0.032262296267839795,0.006023752966901945,0.032262296267839795
