iceberg_id,timestamp,lat,lon,area_km2,u_wind,v_wind,u_current,v_current,segment_hours,length_km,width_km,sensor,obs_u,obs_v,dt_hours,phys_u,phys_v,residual_u,residual_v
C18C,2026-01-05,-65.7322,55.950599999999994,20.0,1.0696544647216797,1.8911104202270508,-0.0980944619514048,0.0654485453851521,96.0,10.0,2.0,ascat,-0.014722593145840924,0.0027616940638241294,96.0,-0.02759014603670136,0.021514053283549887,0.012867552890860437,-0.018752359219725758
C18C,2026-01-09,-65.57,55.97,20.0,-8.731765747070312,3.616541862487793,-0.2417491720989346,0.0397249177258345,96.0,10.0,2.0,nic,0.002591605830728737,0.05233083793443222,96.0,-0.08154961458699278,0.016001930443680413,0.08414122041772151,0.03632890749075181
C18C,2026-01-15,-65.26,54.0,20.0,2.903122584025065,2.335819880167643,-0.1065598954446613,0.1196651898499112,144.0,10.0,2.0,nic,-0.1775018670738652,0.06389929621746458,144.0,-0.027894993915529655,0.03799828945105554,-0.14960687315833554,0.025901006766409045
C18C,2026-02-10,-65.0774,53.46105,20.0,-6.253787994384766,6.168485641479492,-0.0841095517389476,0.0138720864197239,48.0,10.0,2.0,ascat,-0.12956043500538206,-0.13540076737506887,48.0,-0.032207336882089814,0.011437316896547856,-0.09735309812329224,-0.14683808427161674
C18C,2026-02-12,-65.1042,53.3608,20.0,-5.550302505493164,6.186101913452148,-0.0330711693968623,0.019993346533738,48.0,10.0,2.0,ascat,-0.02726223748585384,-0.0173135206006476,48.0,-0.016349783260899555,0.013259584439674694,-0.010912454224954286,-0.030573105040322294
C18C,2026-02-14,-65.14959999999999,53.34985,20.0,-8.202436447143555,-1.104034423828125,0.0138676957867573,0.0192598004359751,48.0,10.0,2.0,ascat,-0.0029726929939454133,-0.02929337740243081,48.0,-0.005699790783482584,0.004351006634523937,0.002727097789537171,-0.033644384036954744
C18C,2026-02-18,-65.2256,53.21,20.0,-5.440131187438965,-0.1313962936401367,-0.0317634374368935,0.0191807402297854,96.0,10.0,2.0,ascat,-0.018928822499147673,-0.024539636679911683,96.0,-0.015833598055261536,0.005487510965659283,-0.0030952244438861368,-0.030027147645570965
C18C,2026-02-20,-65.28045,53.16405,20.0,-3.78348159790039,3.2429046630859375,-0.1300973463803529,-0.0412475178018212,48.0,10.0,2.0,ascat,-0.012412978114230151,-0.03539559538053946,48.0,-0.04279427449244226,-0.008270805957505218,0.03038129637821211,-0.027124789423034243
C18C,2026-02-22,-65.34455,53.07025,20.0,-11.625503540039062,3.0272254943847656,-0.1805554088205099,-0.120872713625431,48.0,10.0,2.0,ascat,-0.025277696305894114,-0.041378616036395165,48.0,-0.06699301647555844,-0.031958750837939136,0.041715320169664324,-0.009419865198456029
C18C,2026-02-24,-65.4282,52.7266,20.0,-12.170419692993164,5.9284820556640625,-0.1679463386535644,-0.0588654801249504,48.0,10.0,2.0,ascat,-0.09231380650353305,-0.05422643112912975,48.0,-0.06393238561422841,-0.010252856015982113,-0.028381420889304634,-0.04397357511314763
C18C,2026-02-26,-65.4399,52.6457,20.0,6.623687744140625,3.4722747802734375,-0.1745799779891967,0.0749216005206108,48.0,10.0,2.0,ascat,-0.02172235624588725,-0.007563365715696724,48.0,-0.04347442220329048,0.026186997900262212,0.02175206595740323,-0.033750363615958935
C18C,2026-02-28,-65.49905,52.335899999999995,20.0,-5.61628532409668,1.258636474609375,-0.272780567407608,0.0352530120871961,48.0,10.0,2.0,ascat,-0.08299596518955743,-0.03837079691199469,48.0,-0.08696613100877615,0.011874458288072185,0.003970165819218718,-0.05024525520006687
C18C,2026-03-02,-65.64065,51.83425,20.0,-10.313602447509766,2.4246177673339844,-0.2110539393033832,0.0499951054807752,48.0,10.0,2.0,ascat,-0.1336638054025218,-0.09190162668573831,48.0,-0.0744033093337902,0.01760282509268934,-0.059260496068731586,-0.10950445177842766
C18C,2026-03-04,-65.77485,51.692499999999995,20.0,3.2391128540039062,-0.0465526580810546,-0.1706112790852785,0.2791186757385731,48.0,10.0,2.0,ascat,-0.037574146017783444,-0.08663797605581908,48.0,-0.046342330089285566,0.0820788637523965,0.008768184071502122,-0.16871683980821556
C18C,2026-03-06,-65.7148,51.8413,20.0,-0.1659755706787109,-1.6556110382080078,-0.07900270819664,0.3127659689635038,48.0,10.0,2.0,ascat,0.039534630039557005,0.03870201719851475,48.0,-0.02344550331687491,0.09006139295188598,0.06298013335643192,-0.051359375753371225
C18C,2026-03-10,-65.91245,51.4462,20.0,-7.097423553466797,0.896702766418457,-0.3104112185537815,-0.160185620188713,96.0,10.0,2.0,ascat,-0.052085660200314,-0.06393376227347618,96.0,-0.09980555111027618,-0.04606751974217458,0.04771989090996218,-0.017866242531301597
C18C,2026-03-12,-65.9586,51.3698,20.0,0.5846595764160156,1.495534896850586,-0.1537899430841207,-0.180168516933918,48.0,10.0,2.0,ascat,-0.02010731136328287,-0.029792476500304085,48.0,-0.04455758565431158,-0.05123370774756285,0.024450274291028713,0.021441231247258764
C18C,2026-03-14,-65.94454999999999,51.2634,20.0,-8.602273941040039,-1.5149288177490234,-0.2685828749090433,-0.2922850362956524,48.0,10.0,2.0,ascat,-0.028018218364624203,0.009042617271707454,48.0,-0.08929138221172181,-0.08781514270919114,0.061273163847097606,0.09685775998089859
C18C,2026-03-16,-65.9147,50.6712,20.0,-9.096351623535156,-4.463878631591797,-0.1235798336565494,-0.1496402365155518,48.0,10.0,2.0,ascat,-0.15612304451086903,0.018525249558949446,48.0,-0.04721144958401459,-0.049356331178244825,-0.10891159492685444,0.06788158073719427
C18C,2026-03-18,-66.0833,50.0632,20.0,-10.233161926269531,-5.686441421508789,-0.1644757706671953,-0.227376346476376,48.0,10.0,2.0,ascat,-0.15923385131508022,-0.10956882911081624,48.0,-0.06060114846700088,-0.07368899048231138,-0.09863270284807935,-0.035879838628504857
C18C,2026-03-20,-66.04,50.08,20.0,-13.16469383239746,-7.633787155151367,-0.1568748652935028,-0.2321035806089639,48.0,10.0,2.0,nic,0.004407433848299841,0.02794102462300455,48.0,-0.06186002522721963,-0.07740204715436637,0.06626745907551947,0.10534307177737091
C18C,2026-03-26,-66.4906,48.2136,20.0,-4.534401814142863,-1.2063363393147786,-0.2694655367716526,-0.02830007627684,144.0,10.0,2.0,ascat,-0.16030252752465174,-0.09931598282227061,144.0,-0.08470060677908153,-0.00976610227363987,-0.0756019207455702,-0.08954988054863074
C18C,2026-03-28,-66.72315,47.603,20.0,-6.463891983032227,-5.604703903198242,-0.282279871404171,-0.0310904929792741,48.0,10.0,2.0,ascat,-0.15588253249713074,-0.1508379179136823,48.0,-0.09077210916430514,-0.01583181090564379,-0.0651104233328256,-0.13500610700803853
C18C,2026-04-03,-66.66,46.86,20.0,1.2658729553222656,1.0535036722819011,-0.28934681105117,0.0081224042999868,144.0,10.0,2.0,nic,-0.06338895658192999,0.013207233615021702,144.0,-0.08363471681795732,0.003646317724640333,0.020245760236027338,0.009560915890381369
C18C,2026-04-09,-67.16,44.61,20.0,-7.78315798441569,0.9658800760904948,-0.1936251903340841,-0.1821485517721157,144.0,10.0,2.0,nic,-0.1880388951993058,-0.11095694320202791,144.0,-0.06625737942163851,-0.052447917025577905,-0.1217815157776673,-0.058509026176450006
C18C,2026-04-15,-67.7538,41.6813,20.0,-2.611504872639974,1.1683241526285808,-0.1552215878618881,-0.0550912927525738,144.0,10.0,2.0,ascat,-0.23869448558951042,-0.13338129277410493,144.0,-0.04878995663709803,-0.014818239810309837,-0.1899045289524124,-0.1185630529637951
C18C,2026-04-17,-68.08215,40.12055,20.0,-11.44399070739746,-2.1218490600585938,-0.1679566975217312,-0.201962414663285,48.0,10.0,2.0,ascat,-0.37635945670883936,-0.21668358888778666,48.0,-0.06306924355659244,-0.06196020180737501,-0.3132902131522469,-0.15472338708041167
C18C,2026-04-19,-68.4032,39.463350000000005,20.0,-8.139791488647461,-1.955078125,-0.212937300093472,-0.1429066644050181,48.0,10.0,2.0,ascat,-0.15628344578193923,-0.2080636380839451,48.0,-0.07236547190602421,-0.04438340707632056,-0.08391797387591501,-0.16368023100762452
C18C,2026-04-21,-68.4918,39.1008,20.0,-10.830694198608398,-6.063669204711914,-0.0820170114748179,-0.2436363045126199,48.0,10.0,2.0,ascat,-0.08587923360888404,-0.05744366646243535,48.0,-0.03704905923561273,-0.0789235033499933,-0.04883017437327131,0.021479836887557953
