iceberg_id,timestamp,lat,lon,area_km2,u_wind,v_wind,u_current,v_current,segment_hours,obs_u,obs_v,dt_hours,phys_u,phys_v,residual_u,residual_v
C39,2026-05-21,-67.01,70.55000000000001,57.36,0.3605830852801983,9.370387737567608,-0.077454438424096,0.1365935994455447,312.0,-0.043867736605312554,0.13663037934885047,312.0,-0.051346076425699064,0.0905505938599686,0.007478339820386509,0.04607978548888188
C39,2026-05-29,-67.01,70.55000000000001,57.36,-1.429171085357666,5.574444770812988,-0.1413310305215418,0.0524517564335837,192.0,0.0,0.0,192.0,-0.09369113045204536,0.03477130490256181,0.09369113045204536,-0.03477130490256181
C39,2026-06-05,-67.0,70.55000000000001,57.36,-3.2369183131626675,10.069599151611328,-0.1631431175129754,0.0825800814532807,168.0,0.0,0.0018439465062797804,168.0,-0.10815079355790715,0.05474396638606955,0.10815079355790715,-0.05290001987978977
C39,2026-06-12,-66.96,69.63,57.36,-2.7434964861188615,7.128634861537388,-0.1436582235619425,0.0485529576710957,168.0,-0.06645957957744182,0.006884645258948825,168.0,-0.09523387266464134,0.032186714228351315,0.028774293087199518,-0.02530206896940249
C39,2026-06-18,-66.96,69.63,57.36,-6.080467224121094,9.596293131510416,-0.2210360703368981,0.0758197863275806,144.0,0.0,0.0,144.0,-0.14652917497396503,0.050262433277742324,0.14652917497396503,-0.050262433277742324
C39,2026-06-25,-66.81,64.84,52.13,-6.599524906703404,5.020597185407366,-0.1985247455803411,0.0380116870094622,168.0,-0.3478198716561355,0.01427661014135208,168.0,-0.13160597334844892,0.025198697788897925,-0.21621389830768656,-0.010922087647545846
C39,2026-07-10,-66.73,63.75,52.13,-0.7820172627766927,2.487971496582031,-0.0894692421580354,0.034722158316678,360.0,-0.03709104348849024,0.0065596100326683615,360.0,-0.059310927030964126,0.023018004272802643,0.022219883542473888,-0.01645839424013428
C39,2026-07-17,-66.72,63.31,52.13,-4.046657017299107,2.649646214076451,-0.0950813663325139,-0.0030988469453794,168.0,-0.03209836110955305,0.0017306600467784717,168.0,-0.06303131494721866,-0.002054286821082866,0.030932953837665603,0.0037849468678613375
C39,2026-07-23,-66.67,62.24000000000001,52.13,-4.798840204874675,2.200834274291992,-0.1167099081600705,-0.0054601885240117,144.0,-0.0912477125701914,0.009973346621088086,144.0,-0.07736930234018724,-0.0036196667738721895,-0.013878410230004162,0.013593013394960276
C39,2026-07-30,-66.65,61.27000000000001,52.13,-2.5732263837541853,0.8675526210239956,-0.071429429841893,-0.011906310235385,168.0,-0.07096069637094846,0.003136185275874421,168.0,-0.04735197928392641,-0.007892928123070261,-0.023608717087022044,0.011029113398944683
