iceberg_id,timestamp,lat,lon,area_km2,u_wind,v_wind,u_current,v_current,segment_hours,length_km,width_km,sensor,obs_u,obs_v,dt_hours,phys_u,phys_v,residual_u,residual_v
D15B,2026-01-03,-66.9927,81.4779,384.0,-2.9993419647216797,0.8057441711425781,-0.0102586698485538,-0.0200240621343255,48.0,32.0,12.0,ascat,0.009569959919915175,-0.014653024119476672,48.0,-0.006595150055698848,-0.004931580583930329,0.016165109975614024,-0.009721443535546343
D15B,2026-01-05,-66.9927,81.4779,384.0,-6.334905624389648,0.8895511627197266,-0.0092437826097011,-0.0610186848789453,48.0,32.0,12.0,ascat,0.0,0.0,48.0,-0.010273815460856412,-0.016894861091674134,0.010273815460856412,0.016894861091674134
D15B,2026-01-09,-66.9927,81.4779,384.0,-9.915664672851562,-1.993077278137207,0.0065674649085849,-0.0887799272313714,96.0,32.0,12.0,ascat,0.0,0.0,96.0,-0.009890825332886601,-0.028501206659704313,0.009890825332886601,0.028501206659704313
D15B,2026-01-15,-66.97,81.45,384.0,-9.954462051391602,-1.7282263437906902,0.0265490370026479,-0.0643523937712113,144.0,32.0,12.0,nic,-0.0023504901815888093,0.004882843620323887,144.0,-0.004057244484354549,-0.02099727397173591,0.00170675430276574,0.025880117592059798
D15B,2026-01-17,-66.9927,81.4779,384.0,-5.27226448059082,0.128997802734375,0.0237477824557572,-0.058709371718578,48.0,32.0,12.0,ascat,0.007044904731433925,-0.014651689682544041,48.0,0.0007014781895087951,-0.01712219508615635,0.00634342654192513,0.002470505403612308
D15B,2026-01-19,-66.9927,81.4779,384.0,-2.8596134185791016,0.3528728485107422,0.0061000182759016,-0.0129380995640531,48.0,32.0,12.0,ascat,0.0,0.0,48.0,-0.0016147774532230376,-0.003386443602537672,0.0016147774532230376,0.003386443602537672
D15B,2026-01-23,-66.97,81.45,384.0,-1.5695714950561523,1.1266355514526367,-6.513959669973701e-05,0.0249240581179037,96.0,32.0,12.0,nic,-0.0035257352723832135,0.00732426543048583,96.0,-0.001890717397000439,0.008677629325586318,-0.0016350178753827746,-0.0013533638951004874
D15B,2026-01-29,-66.9927,81.4779,384.0,-0.5794576009114584,-0.4275716145833333,0.0124585149266446,0.0103229361896713,144.0,32.0,12.0,ascat,0.002348301577144642,-0.004883896560848014,144.0,0.002975140934802496,0.002527826653535916,-0.000626839357657854,-0.00741172321438393
D15B,2026-02-04,-66.9927,81.4779,384.0,-2.2357762654622397,-0.1151593526204427,0.0131651583748559,-0.0075178890644262,144.0,32.0,12.0,ascat,0.0,0.0,144.0,0.0012080940452701638,-0.0023495540202694877,-0.0012080940452701638,0.0023495540202694877
D15B,2026-02-06,-66.97,81.45,384.0,-9.51067352294922,-3.074373245239258,0.0614967532455921,-0.1018556281924247,48.0,32.0,12.0,nic,-0.007051470544766427,0.01464853086097166,48.0,0.00675575583301974,-0.033638237026926365,-0.013807226377786168,0.04828676788789803
D15B,2026-02-08,-66.9927,81.4779,384.0,-10.83831787109375,-1.768819808959961,0.0423718313686549,-0.0687961559742689,48.0,32.0,12.0,ascat,0.007044904731433925,-0.014651689682544041,48.0,-0.00045508261140110584,-0.0223533133925061,0.007499987342835031,0.007701623709962059
D15B,2026-02-10,-66.9927,81.4779,384.0,-5.315189361572266,0.1762981414794922,0.0381609783507883,-0.0644948789849877,48.0,32.0,12.0,ascat,0.0,0.0,48.0,0.00489156886240658,-0.018768256657845973,-0.00489156886240658,0.018768256657845973
D15B,2026-02-12,-67.03,81.56,384.0,-15.939828872680664,-2.0724430084228516,0.0098258592188358,-0.0919081610627472,48.0,32.0,12.0,nic,0.020698946184077065,-0.024086392543636242,48.0,-0.016115182869128917,-0.029516366261477606,0.03681412905320598,0.005429973717841364
D15B,2026-02-18,-67.02,81.55,240.0,-4.107463200887044,-0.6224384307861328,0.0337862051092088,-0.0418970034338599,144.0,20.0,12.0,nic,-0.0008407415734597557,0.002151208826986043,144.0,0.00504432044194493,-0.013070941507917527,-0.005885062015404686,0.01522215033490357
D15B,2026-02-22,-66.9927,81.4779,240.0,0.4360761642456054,1.2817983627319336,0.0341023742221295,0.0211843148983916,96.0,20.0,12.0,ascat,-0.009102823305838628,0.008804183399445047,96.0,0.01055505102956928,0.007762175635418853,-0.01965787433540791,0.001042007764026194
D15B,2026-02-26,-67.02,81.55,240.0,-4.995652198791504,-0.9240703582763672,0.0235467804595828,-0.0559691066737286,96.0,20.0,12.0,nic,0.009092618420114449,-0.008814722215394994,96.0,0.00097216178821083,-0.017571508958818514,0.008120456631903618,0.00875678674342352
D15B,2026-03-28,-66.9927,81.4779,240.0,-8.145166397094727,-1.5519695281982422,-0.021577603300102,-0.1342299012467265,48.0,20.0,12.0,ascat,-0.02073070092370347,0.024059067274302515,48.0,-0.01606175170833776,-0.041349489741500586,-0.00466894921536571,0.0654085570158031
D15B,2026-03-30,-66.9927,81.4779,240.0,-13.120086669921877,-4.85441780090332,0.03736370021943,-0.1490047946572303,48.0,20.0,12.0,ascat,0.0,0.0,48.0,-0.0046495613483719545,-0.049635020935871826,0.0046495613483719545,0.049635020935871826
D15B,2026-04-01,-67.0318,81.4629,240.0,-6.33751106262207,1.4099197387695312,-0.005468878778629,-0.0344617971568368,48.0,20.0,12.0,ascat,-0.0037815017365456414,-0.025234886788301557,48.0,-0.009166106645126846,-0.008459659706769006,0.0053846049085812045,-0.016775227081532552
