iceberg_id,timestamp,lat,lon,area_km2,u_wind,v_wind,u_current,v_current,segment_hours,length_km,width_km,sensor,obs_u,obs_v,dt_hours,phys_u,phys_v,residual_u,residual_v
C30,2026-01-03,-64.78,96.28,27.0,-3.0982189178466797,2.778766632080078,-0.0850227372720837,-0.0695925498148426,48.0,9.0,3.0,ascat,0.0,0.0,48.0,-0.0287133690423079,-0.017165143499263666,0.0287133690423079,0.017165143499263666
C30,2026-01-05,-64.78,96.28,27.0,-6.090764999389648,-0.0147457122802734,-0.0603737542405724,-0.0829801298677921,48.0,9.0,3.0,ascat,0.0,0.0,48.0,-0.025028375802897643,-0.024435586677656274,0.025028375802897643,0.024435586677656274
C30,2026-01-07,-64.78,96.28,27.0,-0.0094566345214843,0.5527515411376953,-0.0160815675044432,0.0314630474895238,48.0,9.0,3.0,ascat,0.0,0.0,48.0,-0.004743490607601506,0.009917517263533111,0.004743490607601506,-0.009917517263533111
C30,2026-01-09,-64.78,96.28,27.0,-2.7199974060058594,-1.106828689575195,-0.0657247343333438,-0.1298684831708669,48.0,9.0,3.0,nic,0.0,0.0,48.0,-0.022583686244643745,-0.0395353009061407,0.022583686244643745,0.0395353009061407
C30,2026-01-11,-64.78,96.28,27.0,-9.286073684692385,-0.0890617370605468,-0.1507959570735693,-0.0613887299550697,48.0,9.0,3.0,ascat,0.0,0.0,48.0,-0.05544637856514829,-0.01817064489501704,0.05544637856514829,0.01817064489501704
C30,2026-01-13,-64.78,96.28,27.0,-0.4415626525878906,-0.2366008758544922,-0.1132699009031057,-0.0259169911732897,48.0,9.0,3.0,ascat,0.0,0.0,48.0,-0.033857687992100885,-0.007908540149491732,0.033857687992100885,0.007908540149491732
C30,2026-01-15,-64.78,96.28,27.0,-2.941730499267578,-1.1244621276855469,-0.0864266026765108,-0.0161430099979043,48.0,9.0,3.0,ascat,0.0,0.0,48.0,-0.02893987905191296,-0.006091097854023994,0.02893987905191296,0.006091097854023994
C30,2026-01-17,-64.78,96.28,27.0,-3.90165901184082,-0.043975830078125,-0.0882638655602932,-0.0366878532804548,48.0,9.0,3.0,ascat,0.0,0.0,48.0,-0.03062513198821135,-0.010848324060561366,0.03062513198821135,0.010848324060561366
C30,2026-01-19,-64.78,96.28,27.0,-4.290643692016602,3.693815231323242,-0.1546592963859439,-0.0304340762086212,48.0,9.0,3.0,ascat,0.0,0.0,48.0,-0.050626691647899756,-0.004551143817841041,0.050626691647899756,0.004551143817841041
C30,2026-01-21,-64.78,96.28,27.0,-4.757419586181641,0.5273590087890625,-0.1023209923878312,-0.0770754115656018,48.0,9.0,3.0,ascat,0.0,0.0,48.0,-0.03578203266029759,-0.022051642029627467,0.03578203266029759,0.022051642029627467
