iceberg_id,timestamp,lat,lon,area_km2,u_wind,v_wind,u_current,v_current,segment_hours,obs_u,obs_v,dt_hours,phys_u,phys_v,residual_u,residual_v
A81,2026-05-21,-63.9,-54.53999999999999,1412.71,4.869747748741736,1.4909180861253004,0.0653694635973526,0.1212461983914881,312.0,0.03322664655005312,0.020644331042052287,312.0,0.043334708017616026,0.08037649869523897,-0.010108061467562907,-0.05973216765318668
A81,2026-05-29,-63.61,-53.69,1412.71,4.235837459564209,0.8340272903442383,0.0188576987129636,0.0626620924813323,192.0,0.06100931624357832,0.04636378797783709,192.0,0.012501140787141882,0.041539938252780156,0.04850817545643644,0.004823849725056936
A81,2026-06-05,-63.45,-53.3,1412.71,6.491946084158761,-0.4820889064243862,0.0081020467166256,0.0568523392097891,168.0,0.03217177540168495,0.02939138600889609,168.0,0.00537100672835067,0.03768853810626113,0.02680076867333428,-0.008297152097365042
A81,2026-06-12,-63.32,-53.02000000000001,1412.71,7.520733424595424,-3.3229904174804688,0.0459607453875443,0.0383706140065831,168.0,0.023202425808284743,0.02390897106254853,168.0,0.030468285527156847,0.025436637581637847,-0.007265859718872104,-0.0015276665190893171
A81,2026-06-18,-63.0,-53.58,1412.71,-1.4590072631835938,3.730489095052083,-0.0615340499595428,0.0541168541337052,144.0,-0.0547387520663384,0.06856625725227634,144.0,-0.04079213659397654,0.03587513104224106,-0.01394661547236186,0.03269112621003528
A81,2026-06-25,-62.4,-54.2,1412.71,3.1037744794573103,-1.160066877092634,0.0080848730535113,0.0410004343970545,168.0,-0.053009730138396674,0.11031719219139846,168.0,0.005359621968010045,0.02717999743941197,-0.058369352106406716,0.0831371947519865
A81,2026-07-10,-61.23,-52.3,1412.71,9.60864028930664,-4.225521341959635,0.0711562142552187,0.0409015401693371,360.0,0.07874428782580792,0.09945480183307934,360.0,0.04717085927738452,0.027114438503374822,0.0315734285484234,0.07234036332970452
A81,2026-07-17,-61.22,-53.39,1412.71,8.346200125558036,0.7164361136300224,0.0176170430828018,0.0397407674962388,168.0,-0.09683549309146901,0.0010350743521207473,168.0,0.011678685675461107,0.02634493938107241,-0.10851417876693012,-0.025309865028951665
A81,2026-07-23,-60.7,-52.81999999999999,1412.71,5.771838506062825,1.6111939748128254,0.0649762025568634,0.1047593898450334,144.0,0.060053494901298105,0.11151096958189302,144.0,0.04307400750966519,0.06944706780830898,0.016979487391632915,0.042063901773584045
A81,2026-07-30,-60.38,-52.75,1412.71,6.992865971156529,5.089790344238281,0.0629060687829873,0.0934184566140174,168.0,0.0063841573975928,0.05894973147711939,168.0,0.041701674960007255,0.061928939263756255,-0.035317517562414455,-0.0029792077866368644
